ID,literal,Meanings
544,給,"['salary', 'wage', 'gift', 'allow', 'grant', 'bestow on']"
545,旧,"['old times', 'old things', 'old friend', 'former', 'ex-']"
546,牛,['cow']
547,去,"['gone', 'past', 'quit', 'leave', 'elapse', 'eliminate', 'divorce']"
548,居,"['reside', 'to be', 'exist', 'live with']"
549,巨,"['gigantic', 'big', 'large', 'great']"
550,拒,"['repel', 'refuse', 'reject', 'decline']"
551,拠,"['foothold', 'based on', 'follow', 'therefore']"
552,挙,"['raise', 'plan', 'project', 'behavior', 'actions']"
553,渠,"['ditch', 'canal', 'lock']"
554,虚,"['void', 'emptiness', 'unpreparedness', 'crack', 'fissure', 'untruth']"
555,許,"['permit', 'approve']"
556,距,"['long-distance', 'spur', 'fetlock']"
557,鋸,['saw (cuts wood)']
558,漁,"['fishing', 'fishery']"
559,禦,"['defend', 'protect', 'resist', 'ward off']"
560,魚,['fish']
561,亨,"['pass through', 'go smoothly']"
562,享,"['enjoy', 'receive', 'undergo', 'answer (phone)', 'take', 'get', 'catch']"
563,京,"['capital', '10**16']"
564,供,"['submit', 'offer', 'present', 'serve (meal)', 'accompany']"
565,侠,"['tomboy', 'chivalry']"
566,僑,"['expatriate', 'person living abroad', 'temporary home']"
567,兇,['wickedness']
568,競,"['emulate', 'compete with', 'bid', 'sell at auction', 'bout', 'contest', 'race']"
569,共,"['together', 'both', 'neither', 'all', 'and', 'alike', 'with']"
570,凶,"['villain', 'evil', 'bad luck', 'disaster']"
571,協,"['co-', 'cooperation']"
572,匡,"['correct', 'save', 'assist']"
573,卿,"['you', 'lord', 'secretary', 'state minister']"
574,叫,"['shout', 'exclaim', 'yell']"
575,喬,"['high', 'boasting']"
576,境,"['boundary', 'border', 'region']"
577,峡,"['gorge', 'ravine']"
578,強,['strong']
579,彊,['strong']
580,怯,"['cowardice', 'wince', 'flinch', 'hesitate', 'waver']"
581,恐,"['fear', 'dread', 'awe']"
582,恭,"['respect', 'reverent']"
583,挟,"['pinch', 'between']"
584,教,"['teach', 'faith', 'doctrine']"
585,橋,['bridge']
586,況,"['condition', 'situation']"
587,狂,"['lunatic', 'insane', 'crazy', 'confuse']"
588,狭,"['cramped', 'narrow', 'contract', 'tight']"
589,矯,"['rectify', 'straighten', 'correct', 'reform', 'cure', 'control', 'pretend', 'falsify']"
590,胸,"['bosom', 'breast', 'chest', 'heart', 'feelings']"
591,脅,"['threaten', 'coerce']"
592,興,"['entertain', 'revive', 'retrieve', 'interest', 'pleasure']"
593,蕎,['buckwheat']
594,郷,"['home town', 'village', 'native place', 'district']"
595,鏡,"['mirror', 'speculum', 'barrel-head', 'round rice-cake offering']"
596,響,"['echo', 'sound', 'resound', 'ring', 'vibrate']"
597,饗,['banquet']
598,驚,"['wonder', 'be surprised', 'frightened', 'amazed']"
599,仰,"['face-up', 'look up', 'depend', 'seek', 'respect', 'revere', 'drink', 'take']"
600,凝,"['congeal', 'freeze', 'stiff', 'be absorbed in']"
601,尭,"['high', 'far']"
602,暁,"['daybreak', 'dawn', 'in the event']"
603,業,"['business', 'vocation', 'arts', 'performance']"
604,局,"['bureau', 'board', 'office', 'affair', 'conclusion', 'court lady', 'lady-in-waiting', 'her apartment']"
605,曲,"['bend', 'music', 'melody', 'composition', 'pleasure', 'injustice', 'fault', 'curve', 'crooked', 'perverse', 'lean']"
606,極,"['poles', 'settlement', 'conclusion', 'end', 'highest rank', 'electric poles', 'very', 'extremely', 'most', 'highly', '10**48']"
607,玉,"['jewel', 'ball']"
608,桐,['paulownia']
609,粁,"['kilometer', '(kokuji)']"
610,僅,['a wee bit']
611,勤,"['diligence', 'become employed', 'serve']"
612,均,"['level', 'average']"
613,巾,"['towel', 'hanging scroll', 'width', 'cloth radical (no. 50)']"
614,錦,"['brocade', 'fine dress', 'honors']"
615,斤,"['axe', '1.32 lb', 'catty', 'counter for loaves of bread', 'axe radical (no. 69)']"
616,欣,"['take pleasure in', 'rejoice']"
617,欽,"['respect', 'revere', 'long for']"
618,琴,"['harp', 'koto']"
619,禁,"['prohibition', 'ban', 'forbid']"
620,禽,"['bird', 'captive', 'capture']"
621,筋,"['muscle', 'sinew', 'tendon', 'fiber', 'plot', 'plan', 'descent']"
622,緊,"['tense', 'solid', 'hard', 'reliable', 'tight']"
623,芹,['parsley']
624,菌,"['germ', 'fungus', 'bacteria']"
625,衿,"['neck', 'collar', 'lapel']"
626,襟,"['collar', 'neck', 'lapel', ""one's inner feelings""]"
627,謹,"['discreet', 'reverently', 'humbly']"
628,近,"['near', 'early', 'akin', 'tantamount']"
629,金,['gold']
630,吟,"['versify', 'singing', 'recital']"
631,銀,['silver']
632,九,['nine']
633,倶,"['both', 'together', 'alike']"
634,句,"['phrase', 'clause', 'sentence', 'passage', 'paragraph', 'counter for haiku']"
635,区,"['ward', 'district']"
636,狗,"['puppy', 'dog']"
637,玖,"['beautiful black jewel', 'nine']"
638,矩,"['ruler', ""carpenter's square""]"
639,苦,"['suffering', 'trial', 'worry', 'hardship', 'feel bitter', 'scowl']"
640,躯,"['body', 'corpse', 'tree with rotten core']"
641,駆,"['drive', 'run', 'gallop', 'advance', 'inspire', 'impel']"
642,駈,"['run', 'gallop', 'advance']"
643,駒,"['pony', 'horse', 'colt']"
644,具,"['tool', 'utensil', 'means', 'possess', 'ingredients', 'counter for armor, suits, sets of furniture']"
645,愚,"['foolish', 'folly', 'absurdity', 'stupid']"
646,虞,"['fear', 'uneasiness', 'anxiety', 'concern', 'expectation', 'consideration']"
647,喰,"['eat', 'drink', 'receive (a blow)', '(kokuji)']"
648,空,"['empty', 'sky', 'void', 'vacant', 'vacuum']"
649,偶,"['accidentally', 'even number', 'couple', 'man & wife', 'same kind']"
650,寓,"['temporary abode', 'imply', 'suggest']"
651,遇,"['meet', 'encounter', 'interview', 'treat', 'entertain', 'receive', 'deal with']"
652,隅,"['corner', 'nook']"
653,串,"['spit', 'skewer']"
654,櫛,['comb']
655,釧,['bracelet']
656,屑,"['rubbish', 'junk', 'trash', 'waste', 'scraps']"
657,屈,"['yield', 'bend', 'flinch', 'submit']"
658,掘,"['dig', 'delve', 'excavate']"
659,窟,['cavern']
660,沓,"['shoes', 'boots']"
661,靴,['shoes']
662,轡,['bit (horse)']
663,窪,"['depression', 'cave in', 'sink', 'become hollow']"
664,熊,['bear']
665,隈,"['corner', 'nook', 'recess']"
666,粂,"['used in proper names', '(kokuji)']"
667,栗,['chestnut']
668,繰,"['winding', 'reel', 'spin', 'turn (pages)', 'look up', 'refer to']"
669,桑,['mulberry']
670,鍬,['hoe with long blade at acute angle']
671,勲,"['meritorious deed', 'merit']"
672,君,"['mister', 'you', 'ruler', 'male name suffix']"
673,薫,"['send forth fragrance', 'fragrant', 'be scented', 'smoke (tobacco)']"
674,訓,"['instruction', 'Japanese character reading', 'explanation', 'read']"
675,群,"['flock', 'group', 'crowd', 'herd', 'swarm', 'cluster']"
676,軍,"['army', 'force', 'troops', 'war', 'battle']"
677,郡,"['county', 'district']"
678,卦,['a divination sign']
679,袈,['a coarse camlet']
680,祁,"['intense', 'large']"
681,係,"['person in charge', 'connection', 'duty', 'concern oneself']"
682,傾,"['lean', 'incline', 'tilt', 'trend', 'wane', 'sink', 'ruin', 'bias']"
683,刑,"['punish', 'penalty', 'sentence', 'punishment']"
684,兄,"['elder brother', 'big brother']"
685,啓,"['disclose', 'open', 'say']"
686,圭,"['square jewel', 'corner', 'angle', 'edge']"
687,珪,['jade scepter or tablet (authority symbol)']
688,型,"['mould', 'type', 'model']"
689,契,"['pledge', 'promise', 'vow']"
690,形,"['shape', 'form', 'style']"
691,径,"['diameter', 'path', 'method']"
692,恵,"['favor', 'blessing', 'grace', 'kindness']"
693,慶,"['jubilation', 'congratulate', 'rejoice', 'be happy']"
694,慧,['wise']
695,憩,"['recess', 'rest', 'relax', 'repose']"
696,掲,"['put up (a notice)', 'put up', 'hoist', 'display', 'hang out', 'publish', 'describe']"
697,携,"['portable', 'carry (in hand)', 'armed with', 'bring along']"
698,敬,"['awe', 'respect', 'honor', 'revere']"
699,景,"['scenery', 'view']"
700,桂,"['Japanese Judas-tree', 'cinnamon tree']"
701,渓,"['mountain stream', 'valley']"
702,畦,"['rice paddy ridge', 'furrow', 'rib']"
703,稽,"['think', 'consider']"
704,系,"['lineage', 'system']"
705,経,"['sutra', 'longitude', 'pass thru', 'expire', 'warp']"
706,継,"['inherit', 'succeed', 'continue', 'patch', 'graft (tree)']"
707,繋,"['tie', 'fasten', 'chain', 'tether', 'connect']"
708,罫,['ruled line']
709,茎,"['stalk', 'stem']"
710,荊,"['thorn', 'brier', 'whip']"
711,蛍,"['lightning-bug', 'firefly']"
712,計,"['plot', 'plan', 'scheme', 'measure']"
713,詣,"['visit a temple', 'arrive', 'attain']"
714,警,"['admonish', 'commandment']"
715,軽,"['lightly', 'trifling', 'unimportant']"
716,頚,"['neck', 'head']"
717,鶏,['chicken']
718,芸,"['technique', 'art', 'craft', 'performance', 'acting', 'trick', 'stunt']"
719,迎,"['welcome', 'meet', 'greet']"
720,鯨,['whale']
721,劇,"['drama', 'play']"
722,戟,"['halbert', 'arms']"
723,撃,"['beat', 'attack', 'defeat', 'conquer']"
724,激,"['violent', 'get excited', 'enraged', 'chafe', 'incite']"
725,隙,"['crevice', 'fissure', 'discord', 'opportunity', 'leisure']"
726,桁,"['beam', 'girder', 'spar', 'unit or column (accounting)']"
727,傑,"['greatness', 'excellence']"
728,欠,"['lack', 'gap', 'fail', 'yawning radical (no. 76)']"
729,決,"['decide', 'fix', 'agree upon', 'appoint']"
730,潔,"['undefiled', 'pure', 'clean', 'righteous', 'gallant']"
731,穴,"['hole', 'aperture', 'slit', 'cave', 'den']"
732,結,"['tie', 'bind', 'contract', 'join', 'organize', 'do up hair', 'fasten']"
733,血,['blood']
734,訣,"['separation', 'part', 'secret']"
735,月,"['month', 'moon']"
736,件,"['affair', 'case', 'matter', 'item']"
737,倹,"['frugal', 'economy', 'thrifty']"
738,倦,"['lose interest in', 'tire of']"
739,健,"['healthy', 'health', 'strength', 'persistence']"
740,兼,"['concurrently', 'and', 'beforehand', 'in advance']"
741,券,['ticket']
742,剣,"['sabre', 'sword', 'blade', 'clock hand']"
743,喧,"['noisy', 'boisterous']"
744,圏,"['sphere', 'circle', 'radius', 'range']"
745,堅,"['strict', 'hard', 'solid', 'tough', 'tight', 'reliable']"
746,嫌,"['dislike', 'detest', 'hate']"
747,建,['build']
748,憲,"['constitution', 'law']"
749,懸,"['state of suspension', 'hang', 'depend', 'consult', 'distant', 'far apart']"
750,拳,['fist']
751,捲,"['roll', 'wind', 'coil', 'turn pages', 'roll up sleeves', 'strip off', 'be turned', 'be rolled up']"
752,検,"['examination', 'investigate']"
753,権,"['authority', 'power', 'rights']"
754,牽,"['pull', 'tug', 'drag', 'lead by hand']"
755,犬,['dog']
756,献,"['offering', 'counter for drinks', 'present', 'offer']"
757,研,"['polish', 'study of', 'sharpen']"
758,硯,['inkstone']
759,絹,['silk']
760,県,['prefecture']
761,肩,['shoulder']
762,見,"['see', 'hopes', 'chances', 'idea', 'opinion', 'look at', 'visible']"
763,謙,"['self-effacing', 'humble oneself', 'condescend', 'be modest']"
764,賢,"['intelligent', 'wise', 'wisdom', 'cleverness']"
765,軒,"['flats', 'counter for houses', 'eaves']"
766,遣,"['dispatch', 'despatch', 'send', 'give', 'donate', 'do', 'undertake']"
767,鍵,['key']
768,険,"['precipitous', 'inaccessible place', 'impregnable position', 'steep place', 'sharp eyes']"
769,顕,"['appear', 'existing']"
770,験,"['verification', 'effect', 'testing']"
771,鹸,['saltiness']
772,元,"['beginning', 'former time', 'origin']"
773,原,"['meadow', 'original', 'primitive', 'field', 'plain', 'prairie', 'tundra', 'wilderness']"
774,厳,"['stern', 'strictness', 'severity', 'rigidity']"
775,幻,"['phantasm', 'vision', 'dream', 'illusion', 'apparition']"
776,弦,"['bowstring', 'chord', 'hypotenuse']"
777,減,"['dwindle', 'decrease', 'reduce', 'decline', 'curtail', 'get hungry']"
778,源,"['source', 'origin']"
779,玄,"['mysterious', 'occultness', 'black', 'deep', 'profound']"
780,現,"['present', 'existing', 'actual']"
781,絃,"['string', 'cord', 'samisen music']"
782,舷,['gunwale']
783,言,"['say', 'word']"
784,諺,['proverb']
785,限,"['limit', 'restrict', 'to best of ability']"
786,乎,"['question mark', '?']"
787,個,"['individual', 'counter for articles']"
788,古,['old']
789,呼,"['call', 'call out to', 'invite']"
790,固,"['harden', 'set', 'clot', 'curdle']"
791,姑,['mother-in-law']
792,孤,"['orphan', 'alone']"
793,己,['self']
794,庫,"['warehouse', 'storehouse']"
795,弧,"['arc', 'arch', 'bow']"
796,戸,"['door', 'counter for houses', 'door radical (no. 63)']"
797,故,"['happenstance', 'especially', 'intentionally', 'reason', 'cause', 'circumstances', 'the late', 'therefore', 'consequently']"
798,枯,"['wither', 'die', 'dry up', 'be seasoned']"
799,湖,['lake']
800,狐,['fox']
801,糊,"['paste', 'glue', 'sizing']"
802,袴,"[""men's formal divided skirt""]"
803,股,"['thigh', 'crotch']"
804,胡,"['barbarian', 'foreign']"
805,菰,['reed used for matting']
806,虎,"['tiger', 'drunkard']"
807,誇,"['boast', 'be proud', 'pride', 'triumphantly']"
808,跨,"['be', 'sit or stand astride', 'extend over', 'straddle']"
809,鈷,['cobalt']
810,雇,"['employ', 'hire']"
811,顧,"['look back', 'review', 'examine oneself', 'turn around']"
812,鼓,"['drum', 'beat', 'rouse', 'muster']"
813,五,['five']
814,互,"['mutually', 'reciprocally', 'together']"
815,伍,"['five', 'five-man squad', 'file', 'line']"
816,午,"['noon', 'sign of the horse', '11AM-1PM', 'seventh sign of Chinese zodiac']"
817,呉,"['give', 'do something for', 'kingdom of Wu']"
818,吾,"['I', 'my', 'our', ""one's own""]"
819,娯,"['recreation', 'pleasure']"
820,後,"['behind', 'back', 'later']"
821,御,"['honorable', 'manipulate', 'govern']"
822,悟,"['enlightenment', 'perceive', 'discern', 'realize', 'understand']"
823,梧,"['Chinese parasol tree', 'phoenix tree']"
824,檎,['apple']
825,瑚,"['ancestral offering receptacle', 'coral']"
826,碁,['Go']
827,語,"['word', 'speech', 'language']"
828,誤,"['mistake', 'err', 'do wrong', 'mislead']"
829,護,"['safeguard', 'protect']"
830,醐,['boiled butter']
831,乞,"['beg', 'invite', 'ask']"
832,鯉,['carp']
833,交,"['mingle', 'mixing', 'association', 'coming & going']"
834,佼,"['beautiful', 'clever', 'deceive', 'sly']"
835,侯,"['marquis', 'lord', 'daimyo']"
836,候,"['climate', 'season', 'weather', 'wait for', 'expect']"
837,倖,"['happiness', 'luck']"
838,光,"['ray', 'light']"
839,公,"['public', 'prince', 'official', 'governmental']"
840,功,"['achievement', 'merits', 'success', 'honor', 'credit']"
841,効,"['merit', 'efficacy', 'efficiency', 'benefit']"
842,勾,"['be bent', 'slope', 'capture']"
843,厚,"['thick', 'heavy', 'rich', 'kind', 'cordial', 'brazen', 'shameless']"
844,口,['mouth']
845,向,"['yonder', 'facing', 'beyond', 'confront', 'defy', 'tend toward', 'approach']"
846,后,"['empress', 'queen', 'after', 'behind', 'back', 'later']"
847,喉,"['throat', 'voice']"
848,坑,"['pit', 'hole']"
849,垢,"['dirt', 'grime', 'earwax']"
850,好,"['fond', 'pleasing', 'like something']"
851,孔,"['cavity', 'hole', 'slit', 'very', 'great', 'exceedingly']"
852,孝,"['filial piety', ""child's respect""]"
853,宏,"['wide', 'large']"
854,工,"['craft', 'construction', 'katakana e radical (no. 48)']"
855,巧,"['adroit', 'skilled', 'ingenuity']"
856,巷,"['fork in road', 'scene', 'arena', 'theater']"
857,幸,"['happiness', 'blessing', 'fortune']"
858,広,"['wide', 'broad', 'spacious']"
859,庚,"['7th', '7th calendar sign']"
860,康,"['ease', 'peace']"
861,弘,"['vast', 'broad', 'wide']"
862,恒,"['constancy', 'always']"
863,慌,"['disconcerted', 'be confused', ""lose one's head""]"
864,抗,"['confront', 'resist', 'defy', 'oppose']"
865,拘,"['arrest', 'seize', 'concerned', 'adhere to', 'despite']"
866,控,"['withdraw', 'draw in', 'hold back', 'refrain from', 'be moderate']"
867,攻,"['aggression', 'attack', 'criticize', 'polish']"
868,昂,['rise']
869,晃,['clear']
870,更,"['grow late', 'night watch', 'sit up late', 'of course', 'renew', 'renovate', 'again', 'more and more', 'further']"
871,杭,"['stake', 'post', 'picket']"
872,校,"['exam', 'school', 'printing', 'proof', 'correction']"
873,梗,"['for the most part', 'close up', 'flower stem']"
874,構,"['posture', 'stance', 'appearance', 'build', 'set up']"
875,江,"['creek', 'inlet', 'bay']"
876,洪,"['deluge', 'flood', 'vast']"
877,浩,"['wide expanse', 'abundance', 'vigorous']"
878,港,['harbor']
879,溝,"['gutter', 'ditch', 'sewer', 'drain', '10**32']"
880,甲,"['armor', 'high (voice)', 'A grade', 'first class', 'former', 'instep', 'carapace']"
881,皇,['emperor']
882,硬,"['stiff', 'hard']"
883,稿,"['draft', 'copy', 'manuscript', 'straw']"
884,糠,['rice bran']
885,紅,"['crimson', 'deep red']"
886,紘,['large']
887,絞,"['strangle', 'constrict', 'wring']"
888,綱,"['hawser', 'class (genus)', 'rope', 'cord', 'cable']"
889,耕,"['till', 'plow', 'cultivate']"
890,考,"['consider', 'think over']"
891,肯,"['agreement', 'consent', 'comply with']"
892,肱,"['ability', 'talent', 'elbow', 'arm']"
893,腔,['body cavity']
894,膏,"['fat', 'grease', 'lard', 'paste', 'ointment', 'plaster']"
895,航,"['navigate', 'sail', 'cruise', 'fly']"
896,荒,"['laid waste', 'rough', 'rude', 'wild']"
897,行,"['going', 'journey', 'carry out', 'conduct', 'act', 'line', 'row', 'bank']"
898,衡,"['equilibrium', 'measuring rod', 'scale']"
899,講,"['lecture', 'club', 'association']"
900,貢,"['tribute', 'support', 'finance']"
901,購,"['subscription', 'buy']"
902,郊,"['outskirts', 'suburbs', 'rural area']"
903,酵,['fermentation']
904,鉱,"['mineral', 'ore']"
905,砿,['ore']
906,鋼,['steel']
907,閤,['small side gate']
908,降,"['descend', 'precipitate', 'fall', 'surrender']"
909,項,"['paragraph', 'nape of neck', 'clause', 'item', 'term (expression)']"
910,香,"['incense', 'smell', 'perfume']"
911,高,"['tall', 'high', 'expensive']"
912,鴻,"['large bird', 'wild goose', 'large', 'great', 'powerful', 'prosperous']"
913,剛,"['sturdy', 'strength']"
914,劫,"['threat', 'long ages']"
915,号,"['nickname', 'number', 'item', 'title', 'pseudonym', 'name', 'call']"
916,合,"['fit', 'suit', 'join', '0.1']"
917,壕,"['trench', 'dugout', 'air raid shelter']"
918,拷,"['torture', 'beat']"
919,濠,"['moat', 'ditch', 'canal', 'Australia']"
920,豪,"['overpowering', 'great', 'powerful', 'excelling', 'Australia']"
